observed_at_utc,source,underlying,symbol,option_type,expiry_utc,strike,maturity_days,maturity_years,underlying_price,market_price,bid_price,ask_price,last_price,mark_iv,mark_iv_binance,bid_iv,ask_iv,risk_free_rate,historical_volatility,historical_volatility_days,moneyness,close_to_close,german_klass,rogers_satchell
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-64500-C,call,2026-06-07T08:00:00+00:00,64500.0,0.5569785185185185,0.0015259685438863,60577.10652174,4.939,0.0,10.0,10.0,0.678,0.678,-1.0,0.74432909,0.0006,0.42948871515171144,365,0.9391799460734884,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-65000-C,call,2026-06-07T08:00:00+00:00,65000.0,0.5569785185185185,0.0015259685438863,60577.10652174,2.918,0.0,5.0,5.0,0.706,0.706,-1.0,0.7514447,0.0006,0.42948871515171144,365,0.931955484949846,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-65500-C,call,2026-06-07T08:00:00+00:00,65500.0,0.5569785185185185,0.0015259685438863,60577.10652174,1.988,0.0,5.0,5.0,0.743,0.743,-1.0,0.82250178,0.0006,0.42948871515171144,365,0.9248413209425954,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-66000-C,call,2026-06-07T08:00:00+00:00,66000.0,0.5569785185185185,0.0015259685438863,60577.10652174,1.436,0.0,5.0,5.0,0.782,0.782,-1.0,0.97288847,0.0006,0.42948871515171144,365,0.917834947299091,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-66500-C,call,2026-06-07T08:00:00+00:00,66500.0,0.5569785185185185,0.0015259685438863,60577.10652174,1.055,0.0,5.0,5.0,0.82,0.82,-1.0,0.96096337,0.0006,0.42948871515171144,365,0.9109339326577444,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-67000-C,call,2026-06-07T08:00:00+00:00,67000.0,0.5569785185185185,0.0015259685438863,60577.10652174,0.796,0.0,5.0,5.0,0.858,0.858,-1.0,1.02854431,0.0006,0.42948871515171144,365,0.9041359182349256,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-56000-P,put,2026-06-07T08:00:00+00:00,56000.0,0.5569785185185185,0.0015259685438863,60577.10652174,8.262,5.0,10.0,10.0,0.889,0.889,0.83432257,0.91216743,0.0006,0.42948871515171144,365,1.0817340450310715,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-57000-P,put,2026-06-07T08:00:00+00:00,57000.0,0.5569785185185185,0.0015259685438863,60577.10652174,16.705,15.0,20.0,15.0,0.791,0.791,0.77759445,0.81465423,0.0006,0.42948871515171144,365,1.0627562547673686,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-58000-P,put,2026-06-07T08:00:00+00:00,58000.0,0.5569785185185185,0.0015259685438863,60577.10652174,37.281,40.0,45.0,40.0,0.695,0.695,0.70540726,0.72361767,0.0006,0.42948871515171144,365,1.0444328710644828,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-59000-P,put,2026-06-07T08:00:00+00:00,59000.0,0.5569785185185185,0.0015259685438863,60577.10652174,87.466,90.0,95.0,105.0,0.592,0.592,0.59718311,0.60724854,0.0006,0.42948871515171144,365,1.0267306190125425,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-59500-P,put,2026-06-07T08:00:00+00:00,59500.0,0.5569785185185185,0.0015259685438863,60577.10652174,139.78,145.0,150.0,130.0,0.541,0.541,0.54895818,0.55650651,0.0006,0.42948871515171144,365,1.018102630617479,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-60000-P,put,2026-06-07T08:00:00+00:00,60000.0,0.5569785185185185,0.0015259685438863,60577.10652174,234.839,235.0,240.0,245.0,0.498,0.498,0.49819231,0.50419033,0.0006,0.42948871515171144,365,1.009618442029,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-60500-P,put,2026-06-07T08:00:00+00:00,60500.0,0.5569785185185185,0.0015259685438863,60577.10652174,398.366,395.0,400.0,415.0,0.462,0.462,0.4584223,0.46373546,0.0006,0.42948871515171144,365,1.0012744879626447,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-61000-P,put,2026-06-07T08:00:00+00:00,61000.0,0.5569785185185185,0.0015259685438863,60577.10652174,663.66,660.0,675.0,705.0,0.442,0.442,0.43206692,0.45495272,0.0006,0.42948871515171144,365,0.9930673200285246,0.42948871515171144,0.4597891785772359,0.46394739697642895
